"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"13","coisas do amor (fã de carteirinha) / você pode - ao vivo","pixote","pagode","eu não sei se você sabe mas preciso tanto te dizer tô parado aqui pensando onde é que anda você será que você tá na minha  eu sei lá o que você quer sou teu fã de carteirinha tudo bem  seja o que deus quiser mas tanto que eu te falei  falei e nada tantas vezes que eu te pedi  pedi e nada e se pensa que é a dona da verdade  não é nada e agora acha que é feliz  mas tá errada pois quando a gente se ama é um show parece que o amor da gente  recomeçou a cada dia ele aumenta e o coração não aguenta de tanto que te esperou mas de repente você me deixa só aí então a cabeça dá um nó assim não muda de assunto por que a gente não tá junto  sei lá  são coisas do amor","pagode"
"31","insegurança - ao vivo","pixote","pagode","essa noite eu notei que você demorou para dormir caminhou pela casa  ligou a tv  eu ouvi você sussurrando chorando baixinho pra não me acordar se estiver precisando de amigo pra desabafar se for alguma coisa comigo  vamos conversar eu não quero correr o perigo de um dia você me deixar escolhi você pra ser minha mulher e sou tão fiel à nossa relação pelo amor de deus  se for insegurança tira do teu coração já é tarde  vamos nos deitar se quiser conversar na nossa cama porque sei que tudo isso passa você me abraça e a gente se ama eu não vou te trair com ninguém meu amor  você tem minha palavra porque tudo que um homem precisa eu tenho em casa essa noite eu notei que você demorou para dormir caminhou pela casa  ligou a tv  eu ouvi você sussurrando chorando baixinho pra não me acordar se estiver precisando de amigo pra desabafar se for alguma coisa comigo  vamos conversar eu não quero correr o perigo de um dia você me deixar escolhi você pra ser minha mulher e sou tão fiel à nossa relação pelo amor de deus  se for insegurança tira do teu coração já é tarde  vamos nos deitar se quiser conversar na nossa cama porque sei que tudo isso passa você me abraça e a gente se ama eu não vou te trair com ninguém meu amor  você tem minha palavra porque tudo que um homem precisa eu tenho em casa já é tarde  vamos nos deitar se quiser conversar na nossa cama porque sei que tudo isso passa você me abraça e a gente se ama eu não vou te trair com ninguém meu amor  você tem minha palavra porque tudo que um homem precisa eu tenho em casa","pagode"
"32","a primeira namorada - ao vivo","sorriso maroto","pagode","eu não sei se vale a pena aceitar esse teu jeito todo mundo tem defeitos por favor  não tô querendo te julgar somos muito diferentes e por mais que a gente tente a cabeça dá um nó e vai ficar pior se a gente não parar vai doer mas não tem jeito fácil de terminar vou sofrer mas te amo e não quero te machucar não fique assim eu também tô tentando ser forte e não chorar olha pra mim vai ficar tudo bem quando a dor passar  vai ser sempre a primeira namorada esse amor não vai sair de mim por nada e nem pense em se afastar de mim vai ser muito ruim se eu não puder te ver é normal que a gente tenha se enganado nossa história aconteceu no tempo errado eu não sou bom em me despedir mas é melhor eu ir pra não me arrepender tente entender eu não sei se vale a pena aceitar esse teu jeito todo mundo tem defeitos por favor  não tô querendo te julgar somos muito diferentes e por mais que a gente tente a cabeça dá um nó e vai ficar pior se a gente não parar vai doer mas não tem jeito fácil de terminar vou sofrer mas te amo e não quero te machucar não fique assim eu também tô tentando ser forte e não chorar olha pra mim vai ficar tudo bem quando a dor  quando a dor passar  vai ser sempre a primeira namorada esse amor não vai sair de mim por nada e nem pense em se afastar de mim vai ser muito ruim se eu não puder te ver é normal que a gente tenha se enganado nossa história aconteceu no tempo errado eu não sou bom em me despedir mas é melhor eu ir pra não me arrepender tente entender vai ser sempre a primeira namorada esse amor não vai sair de mim por nada e nem pense em se afastar de mim vai ser muito ruim se eu não puder te ver é normal que a gente tenha se enganado nossa história aconteceu no tempo errado eu não sou bom em me despedir mas é melhor eu ir pra não me arrepender tente entender","pagode"
"37","tchau e bença - live from brazil / 2007","exaltasamba","pagode","  ah  por falta de aviso não foi  né  agora quer voltar  não mete essa   eu bem que te falei por favor  não brinque comigo te avisei  eu sei que minha vida sem você não faz sentido mas parei     não posso perder tempo com alguém que não me faz bem desisti  faz tempo que eu cansei mas tava faltando coragem consegui     agora vem aqui dizer que vai mudar dá vontade de rir  não dá prá acreditar  pára   pára de fingir que papelão  já me decidi adeus  paixão     o que eu posso fazer se você não pode dar o amor que eu sonhei sinto  mas vou te deixar eu já não me sinto bem com sua presença seu tempo acabou vai  tchau e bença      x  tchau  tchau  eu bem que te falei por favor não brinque comigo te avisei  eu sei que minha vida sem você não faz sentido mas parei  parei com você     não posso perder tempo com alguém que não me faz bem desisti  faz tempo que eu cansei mas tava faltando coragem consegui     agora vem aqui dizer que vai mudar dá vontade de rir   rá  não dá prá acreditar  pára   pára de fingir que papelão  já me decidi adeus paixão     o que eu posso fazer se você não pode dar o amor que eu sonhei sinto mas vou te deixar eu já não me sinto bem com sua presença seu tempo acabou vai  tchau e bença      x   não deu moral pô  tchau ","pagode"
"38","desse jeito é ruim pra mim - ao vivo","belo","pagode","e eu aqui olhando o telefone escrevendo o seu nome esperando uma resposta que já sei e se eu sei  por que é que eu fico feito bobo  sempre caio no teu jogo olha só a armadilha que eu entrei você mudou sua atitude e esqueceu de me avisar agora sei por quê há outro em meu lugar eu tento te entregar meu coração você não quer saber  nem diz que não parece que amar quem não te quer te faz sentir melhor ou mais mulher pra que continuar agindo assim  não vê que desse jeito é ruim pra mim  um dia você para pra entender que tudo isso volta pra você eu tento te entregar meu coração você não quer saber  nem diz que não parece que amar quem não te quer te faz sentir melhor ou mais mulher pra que continuar agindo assim  não vê que desse jeito é ruim pra mim  um dia você para pra entender que tudo isso volta pra você eu aqui olhando o telefone escrevendo o seu nome esperando uma resposta que eu já sei e se eu sei  por que é que eu fico feito bobo  sempre caio no teu jogo olha só a armadilha que eu entrei você mudou sua atitude e esqueceu de me avisar agora sei por quê há outro em meu lugar eu tento te entregar meu coração você não quer saber  nem diz que não parece que amar quem não te quer te faz sentir melhor ou mais mulher pra que continuar agindo assim  não vê que desse jeito é ruim pra mim  um dia você para pra entender que tudo isso volta pra você eu tento te entregar meu coração você não quer saber  nem diz que não parece que amar quem não te quer te faz sentir melhor ou mais mulher pra que continuar agindo assim  não vê que desse jeito é ruim pra mim  um dia você para pra entender que tudo isso volta pra você  pra você ","pagode"
"39","fica combinado assim - ao vivo","sorriso maroto","pagode","iê  iê  uuh fico pensando um jeito de te falar mas sem te magoar que o nosso amor já deu é muito chato a hora de terminar mas sempre alguém vai chorar é tão ruim dizer adeus já não quero mais esse ficar por ficar empurrando com a barriga  não dá isso faz muito mal a mim e a você eu tô num momento da minha vida  sei lá que eu quero mais ficar sozinho e pensar o melhor agora é te esquecer então fica combinado assim é coisa minha  nada com você o nosso amor foi tão legal pra mim não fica triste  tenta me entender então fica combinado assim talvez um dia volte a acontecer mas hoje tô pensando mais em mim mas não se esqueça e isso pode crer eu só te quero bem  tão bem eu só te quero bem  tão bem fico pensando um jeito de te falar mas sem te magoar que o nosso amor já deu é muito chato a hora de terminar mas sempre alguém vai chorar é tão ruim dizer adeus já não quero mais esse ficar por ficar empurrando com a barriga  não dá isso faz muito mal a mim e a você eu tô num momento da minha vida  sei lá que eu quero mais ficar sozinho e pensar o melhor agora é te esquecer então fica combinado assim é coisa minha  nada com você o nosso amor foi tão legal pra mim não fica triste  tenta me entender então fica combinado assim talvez um dia volte a acontecer mas hoje tô pensando mais em mim mas não se esqueça  e isso pode crer eu só te quero bem  tão bem eu só te quero bem  tão bem então fica combinado assim fica combinado assim então fica combinado assim uôh  oh","pagode"
"40","pra ver o sol brilhar (ao vivo)","belo","pagode","primeiro  a gente se apaixonou segundo passo foi te convencer que o amor que eu sinto aqui é tão real e eu não quero mais te ver sofrer me dê a chance de te proteger te abraçar e te fazer feliz eu descobri que a vida é mais e com você  eu vou além não vou ficar mais com ninguém bem que podia acreditar  te vejo e falta o ar meus olhos podem ver o amor acontecer e não é ilusão segure a minha mão e vamos viajar pra ver o sol brilhar pra gente  pra gente bem que podia acreditar  te vejo e falta o ar meus olhos podem ver o amor acontecer e não é ilusão segure a minha mão e vamos viajar pra ver o sol brilhar pra gente primeiro  a gente se apaixonou segundo passo foi te convencer que o amor que eu sinto aqui é tão real e eu não quero mais te ver sofrer me dê a chance de te proteger te abraçar e te fazer feliz eu descobri que a vida é mais e com você  eu vou além não vou ficar mais com ninguém bem que podia acreditar  te vejo e falta o ar meus olhos podem ver o amor acontecer e não é ilusão segure a minha mão e vamos viajar pra ver o sol brilhar pra gente  pra gente bem que podia acreditar  te vejo e falta o ar meus olhos podem ver o amor acontecer e não é ilusão segure a minha mão e vamos viajar pra ver o sol brilhar pra gente primeiro  a gente se apaixonou","pagode"
"46","tá vendo aquela lua","exaltasamba","pagode","te filmando eu tava quieto no meu canto cabelo bem cortado perfume exalando daquele jeito que eu sei que você gosta mas eu te dei um papo e você nem deu resposta tudo bem um dia vai e outro vem você deve estar pensando em um outro alguém mas se ele te merecesse não estaria aqui não não não  ou talvez você não queira se envolver magoada tá com medo de sofrer se me der uma chance não vai se arrepender não não não  tá vendo aquela lua que brilha lá no céu se você me pedir eu vou buscar só pra te dar se bem que o brilho dela nem se compara ao seu deixa eu te dar um beijo vou mostrar o tempo que perdeu que coisa louca  eu já sabia enquanto eu me arrumava algo me dizia você vai encontrar alguém que vai mudar a sua vida inteira da noite pro dia","pagode"
"49","camisa 10","turma do pagode","pagode","se um dia eu disser   que não te amo  é que eu te amo ainda mais  pode acreditar se um dia eu disser   que não te quero  é que eu te quero o dobro ou mais  tenta imaginar não sei mentir  meus olhos dizem mais que minha boca eu vejo que não tem saída  esse teu jeito meio louca me faz feliz  amor que vai durar pra toda vida eu não me separo de você mulher nem se a  globeleza  um dia me quiser se na mega sena eu vencer fico com você  fico com você se no barcelona eu for camisa    me cobrir de ouro da cabeça aos pés mesmo assim se isso acontecer  fico com você  fico com você","pagode"
"54","fugidinha","exaltasamba","pagode","tô bem na parada ninguém consegue entender chego na balada todos param pra me ver tudo dando certo mas eu tô esperto não posso botar tudo a perder  sempre tem aquela pessoa especial que fica na dela sabe seu potencial  e mexe comigo isso é um perigo  logo agora que eu fiquei legal  tô morrendo de vontade de te agarrar não sei quanto tempo mais vou suportar mas pra gente se encontrar ninguém pode saber já pensei e sei o que devo fazer o jeito é dar uma fugidinha com você o jeito é dar uma fugida com você se você quer saber o que vai acontecer primeiro a gente foge  depois a gente vê    rafael de jesus","pagode"
