"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"140","meu pedaço de pecado","joão gomes","forró","meu pedaço de pecado de corpo colado vem dançar comigo quero ser seu familia_masc ficar do seu lado falar no ouvido que você é a mais bonita um pedaço da vida de felicidade vem matar logo o desejo faz esse vaqueiro feliz de verdade vem matar logo eu de beijo enquanto te vejo acabo com a saudade tô querendo te beijar de novo o teu beijo me enlouqueceu tudo que a gente já fez foi pouco quero sentir o seu corpo no meu","forró"
"150","parada louca","mari fernandez","forró","me ligou de madrugada disse que tá com saudade a essa hora é covardia é sacanagem sabe que eu não resisto corro pra ficar contigo meu ponto fraco é sua vozinha no ouvido vai bebê me pede pra fazer aquelas paradas loucas que eu faço com você aquelas paradas loucas que eu faço com você não tem dia não tem hora e nem lugar é cama é no chão é no sofá quando quiser me usar me chama eu vou te amar","forró"
"169","love gostosinho - ao vivo","nattan","forró","pra que tu foge de mim  pra que tu tenta esquecer  se vai ser sempre assim bebida  balada  e eu sou o fim do rolê tu brota aqui  toda sagaz toda fogosa e a gente faz te dou o love que tu é fã é gostosinho  safadinho  a gente vai até de manhã e tu pedindo bota  e eu botando  vai até de manhã um love gostosinho  safadinho  vai até de manhã e tu pedindo bota  e eu botando  vai até de manhã tu vai  mas sempre volta meu quarto é o fim da rota chega jogando o sutiã  tira a calcinha safadinha  a gente vai até de manhã só nattanzinho fe li pe a mo rim ah  nome_masc dj nome_masc capitão pra que tu foge de mim  pra que tu tenta esquecer  se vai ser sempre assim bebida  balada  e eu sou o fim do rolê tu brota aqui  toda sagaz toda fogosa e a gente faz te dou o love que tu é fã é gostosinho  safadinho  a gente vai até de manhã e tu pedindo bota  e eu botando  vai até de manhã","forró"
"194","halls na língua","kadu martins","forró"," vai  kadu martins   é pra tocar  pra tocar  pra tocar no paredão  ô  que ela_similares simpática me olhou de canto quando eu brotei na área oi  no bailão da serra que ela_similares se destaca de juju na face e uma lacoste importada veio preparada foi no beco do meio que começou a tocar os proibidão  e ela_similares começou a jogar vou mandar uma proposta que não dá pra recusar bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca  bota o halls na língua  amor   bota o halls na língua  amor  que ela_similares simpática me olhou de canto quando eu brotei na área oi  no bailão da serra que ela_similares se destaca de juju na face e uma lacoste importada veio preparada foi no beco do meio que começou a tocar os proibidão  e ela_similares começou a jogar vou mandar uma proposta que não dá pra recusar bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca bota o halls na língua  amor vai descendo com a boquinha  ela_similares vai  me faz esse favor que hoje à noite vou te deixar louca  bota o halls na língua  amor   bota o halls na língua  amor ","forró"
"197","085 - ao vivo","rogerinho","forró","cinderela  vem busca sua lingerie vem terminar aquela cachorrada com seu vetin cinderela  vem busca sua lingerie vem terminar aquela cachorrada com seu vetin quer de novo  quer de novo quer de novo essa familia_fem quer marquinha no pescoço tá doidinha na botada criminal  que te pega  te prende e você passa mal quer de novo  quer de novo quer de novo essa familia_fem quer marquinha no pescoço tá doidinha na botada criminal  que te pega  te prende e você passa mal morena gostosa do     tem o paraíso embaixo do vestido pela estrada a fora no banco da frente  ela_similares faz umas parada diferente oi ela_similares não quer ganhar flores ela_similares não quer mais amores só que um lugar pra sentar aa","forró"
"204","toca o trompete","felipe amorim","forró","perdida no baile com a pura maldade familia_masc ela_similares nem sonha familia_fem ela_similares nem sabe que a familia_fem é bandida que faz sacanagem saiu com as amigas só chega mais tarde só chega mais tarde o que  que ela_similares quer  o que  que ela_similares quer  o que  que ela_similares quer  o que  que ela_similares quer  familia_fem quer sentar pros cria pede putaria  então vou te dar uh  uh balançou gostosa  toda delicinha amanheceu o dia e ela_similares só quer sentar se é isso que tu quer eu vou te dar vai  vai  vai senta  ela_similares pede pro cria dar tapa na raba na hora que ela_similares quer  senta toma  toma  toma  toma  toma  toma senta  ela_similares pede pro cria dar tapa na raba na hora que ela_similares quer  senta toma  toma  toma  toma  toma tô  toca o trompete  vai nome_masc djay nome_masc amorim essa ela_similares quer sentar perdida no baile com a pura maldade familia_masc ela_similares nem sonha familia_fem ela_similares nem sabe que a familia_fem é bandida que faz sacanagem saiu com as amigas só chega mais tarde só chega mais tarde o que  que ela_similares quer  o que  que ela_similares quer  familia_fem quer sentar pros cria pede putaria  então vou te dar gostosa  toda delicinha amanheceu o dia e ela_similares só quer sentar  ela_similares pede  ela_similares pede  la pede pro cria dar tapa na raba  senta  ela_similares pede pro cria dar tapa na raba na hora que ela_similares quer  senta ela_similares toma  toma  toma  toma  toma  ela_similares pede  ela_similares pede  ela_similares pede  senta  ela_similares pede pro cria dar tapa na raba na hora que ela_similares quer  senta  tapa na raba  tapa na  tapa na raba  tapa na raba  toma  toma  tapa na  tapa na  tapa na raba ","forró"
"209","deixa eu viver - ao vivo","mari fernandez","forró","oh oh oh oh me abraça  ao mesmo tempo não me sinto abraçada você me beija  ao mesmo tempo não me sinto beijada parece que você é um fantasma nessa casa te ver ou não te ver  pra mim não tá mudando em nada me assusta ter você e mesmo assim fazendo falta se seu amor acabou e tudo esfriou se eu morri pra você  deixa eu viver se seu amor acabou e tudo esfriou se eu morri pra você  deixa eu viver deixa eu viver deixa eu viver me abraça  ao mesmo tempo não me sinto abraçar você me beija  ao mesmo tempo não me sinto parece que você é um fantasma nessa casa te ver ou não te ver  pra mim não tá mudando em nada me assusta ter você e mesmo assim fazendo falta  comigo são nome_masc   se seu amor acabou e tudo esfriou se eu morri pra você  deixa eu viver se seu amor acabou e tudo esfriou se eu morri pra você  deixa eu viver se seu amor acabou e tudo esfriou se eu morri pra você  deixa eu viver se seu amor acabou  e o quê  vai    e tudo esfriou  se eu morri pra você  deixa eu viver deixa eu viver deixa eu viver oh uoh uoh oh oh uoh uoh oh oh uoh uoh oh","forró"
"231","17 e 700 (dezessete e setecentos)","luiz gonzaga","forró","eu lhe dei vinte mil réis pra pagar tês e trezentos você tem que me voltar  dezesseis e setecentos dezessete e setecentos dezesseis e setecentos mas se eu lhe dei vinte mil réis pra pagar três e trezentos você tem que me voltar   dezesseis e setecentos mas dezesseis e setecentos    dezesseis e setecentos   por que dezesseis e setecentos  por que dezesseis e setecentos  mas se eu lhe dei vinte mil réis pra pagar três e trezentos você tem que me voltar é    sou diplomado  frequentei a academia   dezesseis e setecentos  conheço geografia  sei até multiplicar   dezesseis e setecentos  dei vinte mango para pagar três e trezentos dezessete e setecentos você tem que me voltar mas eu lhe dei vinte mil réis pra pagar três e trezentos   dezesseis e setecentos   mas dezesseis e setecentos    dezesseis e setecentos  se eu lhe dei vinte mil réis pra pagar três e trezentos você tem que me voltar é     dezesseis e setecentos   dezesseis e setecentos  você tem que voltar dezessete e setecentos eu acho bom você tirar os nove fora evitar que eu vá embora e deixe a conta sem pagar eu já lhe disse que essa droga tá errada vou buscar a tabuada e volta aqui pra lhe provar você tem que me voltar é     dezesseis e setecentos por que dezesseis e setecentos   dezesseis e setecentos  não  e dezessete e setecentos ","forró"
"237","pedido a padre cícero","ary lobo","forró","ó seco tá torrando de novo o meu ceará ó meu ele_similares tenha pena do povo do lado de lá o mato era verde tá seco danado tá esturricado e nada mais deu até a esperança que dizem que é verde nem se escapou também já morreu meu padrinho cícero do juazeiro do norte sertanejo é cabra forte mais num vai agüentar só existe água nos olhos do povo chorando de novo no meu ceará                             nome_fem","forró"
"281","procurando tú","trio nordestino","forró","morena diga onde é que tu tava aonde é que tu tava onde é que tava tu passei a noite procurando tu procurando tu  procurando tu eu vivo triste  meu amor me beija mesmo que não seja beijo de amor esse teu beijo sei que me envenena mas não tenha pena se ele_similares é matador eu quero um beijo de lascar o cano pois eu sou outros_masc cabra beijador chega pra perto  me dá um arrocho que eu já tô roxo de tanto roer acende o fogo da minha fogueira que a noite inteira eu só faltei morrer te procurando  meu amor te dando e tu me negando  fazendo eu sofrer","forró"
